region,source_medium,revenue,transactions
(not set),(direct) / (none),"0,00",0
County Dublin,facebook.com / referral,"0,00",0
Federal District,(direct) / (none),"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / organic,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Indiana,google / organic,"0,00",0
Neuquen,(direct) / (none),"0,00",0
New York,google / organic,"0,00",0
North Carolina,facebook.com / referral,"0,00",0
State of Amapa,google / cpc,"0,00",0
State of Amazonas,google / organic,"0,00",0
State of Amazonas,google / cpc,"0,00",0
State of Bahia,(direct) / (none),"0,00",0
State of Bahia,google / cpc,"0,00",0
State of Bahia,google / cpc,"0,00",0
State of Ceara,google / cpc,"0,00",0
State of Ceara,google / cpc,"0,00",0
State of Espirito Santo,(direct) / (none),"0,00",0
State of Espirito Santo,google / cpc,"0,00",0
State of Espirito Santo,google / organic,"0,00",0
State of Espirito Santo,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Goias,google / cpc,"0,00",0
State of Maranhao,bing / organic,"0,00",0
State of Maranhao,google / organic,"0,00",0
State of Mato Grosso,(direct) / (none),"0,00",0
State of Minas Gerais,(direct) / (none),"0,00",0
State of Minas Gerais,google / cpc,"0,00",0
State of Minas Gerais,google / cpc,"0,00",0
State of Minas Gerais,google / cpc,"0,00",0
State of Minas Gerais,google / organic,"0,00",0
State of Minas Gerais,google / cpc,"0,00",0
State of Minas Gerais,facebook / organic,"0,00",0
State of Para,google / organic,"0,00",0
State of Para,google / cpc,"0,00",0
State of Parana,(direct) / (none),"0,00",0
State of Parana,br.search.yahoo.com / referral,"0,00",0
State of Parana,google / cpc,"0,00",0
State of Parana,google / cpc,"0,00",0
State of Parana,google / cpc,"0,00",0
State of Parana,google / organic,"0,00",0
State of Parana,crm / email,"0,00",0
State of Parana,google / cpc,"0,00",0
State of Parana,google / cpc,"0,00",0
State of Parana,embalagem / referral,"0,00",0
State of Pernambuco,br.search.yahoo.com / referral,"0,00",0
State of Pernambuco,brf-global.com / referral,"0,00",0
State of Pernambuco,google / cpc,"0,00",0
State of Pernambuco,google / cpc,"0,00",0
State of Pernambuco,google / organic,"0,00",0
State of Pernambuco,google / cpc,"0,00",0
State of Pernambuco,facebook / organic,"0,00",0
State of Rio de Janeiro,(direct) / (none),"0,00",0
State of Rio de Janeiro,bing / organic,"0,00",0
State of Rio de Janeiro,google / cpc,"0,00",0
State of Rio de Janeiro,google / cpc,"0,00",0
State of Rio de Janeiro,google / cpc,"0,00",0
State of Rio de Janeiro,google / cpc,"0,00",0
State of Rio de Janeiro,google / organic,"0,00",0
State of Rio de Janeiro,google / cpc,"0,00",0
State of Rio Grande do Norte,(direct) / (none),"0,00",0
State of Rio Grande do Norte,google / cpc,"0,00",0
State of Rio Grande do Sul,(direct) / (none),"0,00",0
State of Rio Grande do Sul,brf-global.com / referral,"0,00",0
State of Rio Grande do Sul,google / organic,"0,00",0
State of Rio Grande do Sul,google / cpc,"0,00",0
State of Rio Grande do Sul,google / cpc,"0,00",0
State of Rio Grande do Sul,google / cpc,"0,00",0
State of Rio Grande do Sul,facebook / organic,"0,00",0
State of Rio Grande do Sul,facebook / organic,"0,00",0
State of Rondonia,google / organic,"0,00",0
State of Santa Catarina,google / cpc,"0,00",0
State of Santa Catarina,google / cpc,"0,00",0
State of Sao Paulo,(direct) / (none),"0,00",0
State of Sao Paulo,bing / organic,"0,00",0
State of Sao Paulo,br.search.yahoo.com / referral,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / organic,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,google / cpc,"0,00",0
State of Sao Paulo,pinterest / organic,"0,00",0
State of Tocantins,(direct) / (none),"0,00",0
State of Tocantins,google / cpc,"0,00",0
Texas,facebook.com / referral,"0,00",0
Valle del Cauca,(direct) / (none),"0,00",0
Virginia,facebook.com / referral,"0,00",0
(not set),google / cpc,"0,00",0
(not set),google / cpc,"0,00",0
(not set),google / cpc,"0,00",0
(not set),google / cpc,"0,00",0
(not set),google / cpc,"0,00",0
(not set),google / cpc,"0,00",0
Alberta,google / organic,"0,00",0
Aveiro District,facebook / organic,"0,00",0
Banten,google / cpc,"0,00",0
Bekes County,(direct) / (none),"0,00",0
Bekes County,google / cpc,"0,00",0
British Columbia,google / cpc,"0,00",0
Buenos Aires,google / cpc,"0,00",0
Buenos Aires Province,google / cpc,"0,00",0
County Dublin,google / organic,"0,00",0
East Java,facebook / organic,"0,00",0
England,(direct) / (none),"0,00",0
Federal District,(direct) / (none),"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / organic,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
Federal District,google / cpc,"0,00",0
